County,FIPS,Population
"Elkhart County, Indiana",18039,205560
"Fayette County, Indiana",18041,23047
"Floyd County, Indiana",18043,77781
"Fountain County, Indiana",18045,16351
"Franklin County, Indiana",18047,22736
"Fulton County, Indiana",18049,20092
"Gibson County, Indiana",18051,33452
"Grant County, Indiana",18053,65936
"Greene County, Indiana",18055,32006
"Hamilton County, Indiana",18057,330086
"Hancock County, Indiana",18059,76351
"Harrison County, Indiana",18061,40350
"Hendricks County, Indiana",18063,167009
"Henry County, Indiana",18065,48271
"Howard County, Indiana",18067,82366
"Huntington County, Indiana",18069,36240
"Jackson County, Indiana",18071,44111
"Jasper County, Indiana",18073,33370
"Jay County, Indiana",18075,20764
"Jefferson County, Indiana",18077,32208
"Jennings County, Indiana",18079,27611
"Johnson County, Indiana",18081,156225
"Knox County, Indiana",18083,36895
"Kosciusko County, Indiana",18085,79344
"LaGrange County, Indiana",18087,39330
"Lake County, Indiana",18089,484411
"LaPorte County, Indiana",18091,110007
"Lawrence County, Indiana",18093,45668
"Madison County, Indiana",18095,129641
"Marion County, Indiana",18097,954670
"Marshall County, Indiana",18099,46248
"Martin County, Indiana",18101,10217
"Miami County, Indiana",18103,35567
"Monroe County, Indiana",18105,146917
"Montgomery County, Indiana",18107,38346
"Morgan County, Indiana",18109,70116
"Newton County, Indiana",18111,14011
"Noble County, Indiana",18113,47532
"Ohio County, Indiana",18115,5844
"Orange County, Indiana",18117,19489
"Owen County, Indiana",18119,20845
"Parke County, Indiana",18121,16927
"Perry County, Indiana",18123,19102
"Pike County, Indiana",18125,12410
"Porter County, Indiana",18127,169594
"Posey County, Indiana",18129,25540
"Pulaski County, Indiana",18131,12469
"Putnam County, Indiana",18133,37779
"Randolph County, Indiana",18135,24851
"Ripley County, Indiana",18137,28523
"Rush County, Indiana",18139,16663
"St. Joseph County, Indiana",18141,270771
"Scott County, Indiana",18143,23878
"Shelby County, Indiana",18145,44593
"Spencer County, Indiana",18147,20327
"Starke County, Indiana",18149,22935
"Steuben County, Indiana",18151,34586
